Rule ID,CORE-ID,IG Version,ADaM Structure Group,Description,Rule Category,Status Rule,Assigned To,PR Link,Notes
AD0604,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is not present and the value of PHSDT is not equal to the value of at least one PHwSDT variable",,,,,
AD0605,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is present and the value of PHSDT is not equal to the value of variable PHwSDT where w equals the value of APHASEN",,,,,
AD0606,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is not present and the value of PHSTM is not equal to the value of at least one PHwSTM variable",,,,,
AD0607,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is present and the value of PHSTM is not equal to the value of variable PHwSTM where w equals the value of APHASEN",,,,,
AD0608,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is not present and the value of PHSDTM is not equal to the value of at least one PHwSDTM variable",,,,,
AD0609,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is present and the value of PHSDTM is not equal to the value of variable PHwSDTM where w equals the value of APHASEN",,,,,
AD0610,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is not present and the value of PHEDT is not equal to the value of at least one PHwEDT variable",,,,,
AD0611,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is present and the value of PHEDT is not equal to the value of variable PHwEDT where w equals the value of APHASEN",,,,,
AD0612,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is not present and the value of PHETM is not equal to the value of at least one PHwETM variable",,,,,
AD0613,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is present and the value of PHETM is not equal to the value of variable PHwETM where w equals the value of APHASEN",,,,,
AD0614,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is not present and the value of PHEDTM is not equal to the value of at least one PHwEDTM variable",,,,,
AD0615,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, APHASEN is present and the value of PHEDTM is not equal to the value of variable PHwEDTM where w equals the value of APHASEN",,,,,
AD0616,,"1.1, 1.2, 1.3",ADSL,"There is more than one value of TRCMPGy for a given value of TRCMPGyN, where y is an integer [1-99, not zero-padded], considering only those rows on which both variables are populated",,,,,
AD0617,,"1.1, 1.2, 1.3",ADSL,"There is more than one value of TRCMPGyN for a given value of TRCMPGy, where y is an integer [1-99, not zero-padded], considering only those rows on which both variables are populated",,,,,
AD0618,,"1.1, 1.2, 1.3",ADSL,"On a given record, TRCMPGy is populated and TRCMP is not populated.",,,,,
AD0619,,"1.0, 1.1",BDS; OCCDS,LVOTFL is not equal to Y or null,,,,,
AD0620,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AETERM is not present,,,,,
AD0621,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),TRTEMFL is not present,,,,,
AD0622,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEOCCUR is present,,,,,
