Rule ID,CORE-ID,IG Version,ADaM Structure Group,Description,Rule Category,Status Rule,Assigned To,PR Link,Notes
AD0713,,"1.2, 1.3",BASIC DATA STRUCTURE,"A variable with a suffix of PFN has a value that is not 1, 0, or null",,,,,
AD0714,,"1.1, 1.2, 1.3",ALL,"There is more than one value of a variable which has a suffix of GRyN for a given value of a variable with the same root name and suffix of GRy, considering only those rows on which both variables are populated",,,,,
AD0715,,"1.1, 1.2, 1.3",ALL,"There is more than one value of a variable which has a suffix of GRy for a given value of a variable with the same root name and suffix of GRyN, considering only those rows on which both variables are populated",,,,,
AD0716,,"1.1, 1.2, 1.3",ALL,A variable with a suffix of TM is not a numeric variable excluding SDTM variables with a suffix of ELTM,,,,,
AD0717,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTxxPN for a given value of TRTxxP, considering only those rows on which both variables are populated",,,,,
AD0718,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTxxP for a given value of TRTxxPN, considering only those rows on which both variables are populated",,,,,
AD0719,,"1.1, 1.2, 1.3",ALL,None of the subject-level or record-level treatment variables defined in the IG is present,,,,,
AD0720,,"1.1, 1.2, 1.3",ALL,A non-missing value of TRTP is not equal to at least one value of the character planned treatment variables in ADSL defined in the IG,,,,,
AD0721,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTPN for a given value of TRTP, considering only those rows on which both variables are populated",,,,,
AD0722,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTP for a given value of TRTPN, considering only those rows on which both variables are populated",,,,,
AD0723,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTAN for a given value of TRTA, considering only those rows on which both variables are populated",,,,,
AD0724,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTA for a given value of TRTAN, considering only those rows on which both variables are populated",,,,,
AD0725,,"1.1, 1.2, 1.3",ALL,"There is more than one value of APERIODC for a given value of APERIOD, considering only those rows on which both variables are populated",,,,,
AD0726,,"1.1, 1.2, 1.3",ALL,"There is more than one value of APERIOD for a given value of APERIODC, considering only those rows on which both variables are populated",,,,,
AD0727,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of AVISITN for a given value of AVISIT, considering only those rows on which both variables are populated",,,,,
AD0728,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of AVISIT for a given value of AVISITN, considering only those rows on which both variables are populated",,,,,
AD0729,,1.1,BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of ATPTN for a given value of ATPT, considering only those rows on which both variables are populated",,,,,
AD0730,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of PARCATy for a given value of PARCATyN, considering only those rows on which both variables are populated",,,,,
AD0731,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of PARCATyN for a given value of PARCATy, considering only those rows on which both variables are populated",,,,,
AD0732,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD for a subject, there is more than one value of BASE for a given value of BASEC, considering only those rows on which both variables are populated",,,,,
AD0733,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD for a subject, there is more than one value of BASEC for a given value of BASE, considering only those rows on which both variables are populated",,,,,
AD0734,,1.1,BASIC DATA STRUCTURE,"Within a dataset, BASETYPE is populated for at least one record and is not populated for at least one record",,,,,
AD0735,,1.3,BASIC DATA STRUCTURE; MEDICAL DEVICE BASIC DATA STRUCTURE,"Within a given value of PARAMCD where either BASE or BASEC are populated, BASETYPE is populated for at least one record and is not populated for at least one record",,,,,
AD0736,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of SHIFTy for a given value of SHIFTyN, considering only those rows on which both variables are populated",,,,,
AD0737,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of SHIFTyN for a given value of SHIFTy, considering only those rows on which both variables are populated",,,,,
AD0738,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of PARAM for a given value of PARAMCD, considering only those rows on which both variables are populated",,,,,
AD0739,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of PARAMCD for a given value of PARAM, considering only those rows on which both variables are populated",,,,,
AD0740,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of PARAM for a given value of PARAMN, considering only those rows on which both variables are populated",,,,,
AD0741,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of PARAMN for a given value of PARAM, considering only those rows on which both variables are populated",,,,,
AD0742,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of AVALC for a given value of AVAL, considering only those rows on which both variables are populated",,,,,
AD0743,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of AVAL for a given value of AVALC, considering only those rows on which both variables are populated",,,,,
AD0744,,1.3,BASIC DATA STRUCTURE,"BASETYPE is populated, BTOXGR is populated, and BTOXGR is not equal to ATOXGR where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",,,,,
AD0745,,1.3,BASIC DATA STRUCTURE,"BASETYPE is populated, BNRIND is populated, and BNRIND is not equal to ANRIND where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",,,,,
AD0746,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE; OCCURRENCE DATA STRUCTURE,"SRCDOM has a value that is not an SDTM domain name, ADaM dataset name, or null",,,,,
AD0747,,1.1,BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of AVALCATy for a given value of AVAL, where y is a single-digit integer [1-9]",,,,,
AD0748,,"1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of AVALCATy for a given value of AVAL and y, where y is a single-digit integer [1-9]",,,,,
AD0749,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of BASECATy for a given value of BASE and y, where y is a single-digit integer [1-9]",,,,,
AD0750,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of CHGCATy for a given value of CHG and y, where y is an integer [1-99, not zero-padded]",,,,,
AD0751,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of PCHGCATy for a given value of PCHG and y, where y is a single-digit integer [1-9]",,,,,
AD0752,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTSEQP for a given value of TRTSEQPN, considering only those rows on which both variables are populated",,,,,
AD0753,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTSEQPN for a given value of TRTSEQP, considering only those rows on which both variables are populated",,,,,
AD0754,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTSEQA for a given value of TRTSEQAN, considering only those rows on which both variables are populated",,,,,
AD0755,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTSEQAN for a given value of TRTSEQA, considering only those rows on which both variables are populated",,,,,
AD0756,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"Within a given value of TRTxxP, there is more than one value of TRxxPGy, where xx is an integer [01-99, zero-padded] and y is an integer [1-99, not zero-padded]",,,,,
AD0757,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRxxPGy for a given value of TRxxPGyN, where xx is an integer [01-99, zero-padded] and y is a single-digit integer [1-9], considering only those rows on which both variables are populated",,,,,
AD0758,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRxxPGyN for a given value of TRxxPGy, where xx is an integer [01-99, zero-padded] and y is a single-digit integer [1-9], considering only those rows on which both variables are populated",,,,,
AD0759,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"Within a given value of TRTxxA, there is more than one value of TRxxAGy, where xx is an integer [01-99, zero-padded] and y is an integer [1-99, not zero-padded]",,,,,
AD0760,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRxxAGy for a given value of TRxxAGyN, where xx is an integer [01-99, zero-padded] and y is a single-digit integer [1-9], considering only those rows on which both variables are populated",,,,,
AD0761,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRxxAGyN for a given value of TRxxAGy, where xx is an integer [01-99, zero-padded] and y is a single-digit integer [1-9], considering only those rows on which both variables are populated",,,,,
AD0762,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTPGy for a given value of TRTPGyN, where y is an integer [1-99, not zero-padded], considering only those rows on which both variables are populated",,,,,
AD0763,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTPGyN for a given value of TRTPGy, where y is an integer [1-99, not zero-padded], considering only those rows on which both variables are populated",,,,,
AD0764,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"TRTPGy is present and TRTA is present but TRTAGy is not present, where y is an integer [1-99, not zero-padded]",,,,,
AD0765,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTAGy for a given value of TRTAGyN, where y is an integer [1-99, not zero-padded], considering only those rows on which both variables are populated",,,,,
AD0766,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"There is more than one value of TRTAGyN for a given value of TRTAGy, where y is an integer [1-99, not zero-padded], considering only those rows on which both variables are populated",,,,,
AD0767,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTxxAN for a given value of TRTxxA, where xx is an integer [01-99, zero-padded], considering only those rows on which both variables are populated",,,,,
AD0768,,"1.1, 1.2, 1.3",SUBJECT LEVEL ANALYSIS DATASET,"There is more than one value of TRTxxA for a given value of TRTxxAN, where xx is an integer [01-99, zero-padded], considering only those rows on which both variables are populated",,,,,
AD0769,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AESEV for a given value of AESEVN, considering only those rows on which both variables are populated",,,,,
AD0770,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AESEVN for a given value of AESEV, considering only those rows on which both variables are populated",,,,,
AD0771,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of ASEV for a given value of ASEVN, considering only those rows on which both variables are populated",,,,,
AD0772,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of ASEVN for a given value of ASEV, considering only those rows on which both variables are populated",,,,,
AD0773,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of SEVGRy for a given value of SEVGRyN, considering only those rows on which both variables are populated",,,,,
AD0774,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of SEVGRyN for a given value of SEVGRy, considering only those rows on which both variables are populated",,,,,
AD0775,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AEREL for a given value of AERELN, considering only those rows on which both variables are populated",,,,,
AD0776,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AERELN for a given value of AEREL, considering only those rows on which both variables are populated",,,,,
AD0777,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AREL for a given value of ARELN, considering only those rows on which both variables are populated",,,,,
AD0778,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of ARELN for a given value of AREL, considering only those rows on which both variables are populated",,,,,
AD0779,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of RELGRy for a given value of RELGRyN, considering only those rows on which both variables are populated",,,,,
AD0780,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of RELGRyN for a given value of RELGRy, considering only those rows on which both variables are populated",,,,,
AD0781,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AETOXGR for a given value of AETOXGRN, considering only those rows on which both variables are populated",,,,,
AD0782,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of AETOXGRN for a given value of AETOXGR, considering only those rows on which both variables are populated",,,,,
AD0783,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of ATOXGR for a given value of ATOXGRN, considering only those rows on which both variables are populated",,,,,
AD0784,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of ATOXGRN for a given value of ATOXGR, considering only those rows on which both variables are populated",,,,,
AD0785,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of TOXGGRy for a given value of TOXGGRyN, considering only those rows on which both variables are populated",,,,,
AD0786,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of TOXGGRyN for a given value of TOXGGRy, considering only those rows on which both variables are populated",,,,,
AD0787,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of SMQzzSC for a given value of SMQzzSCN, considering only those rows on which both variables are populated",,,,,
AD0788,,"1.1, 1.2, 1.3",OCCURRENCE DATA STRUCTURE,"There is more than one value of SMQzzSCN for a given value of SMQzzSC, considering only those rows on which both variables are populated",,,,,
AD0789,,1.3,BASIC DATA STRUCTURE,"BASETYPE is populated, BASE is populated, and BASE is not equal to AVAL where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",,,,,
AD0790,,1.3,BASIC DATA STRUCTURE,"BASETYPE is populated, ByIND is populated, and ByIND is not equal to AyIND where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",,,,,
AD0791,,1.1,BASIC DATA STRUCTURE,"Within a given value of PARAMCD, there is more than one value of ATPT for a given value of ATPTN, considering only those rows on which both variables are populated",,,,,
AD0792,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, a variable with a suffix of SDT has a value greater than a value of a variable with the same root and a suffix of EDT, and both variables are populated",,,,,
AD0793,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, a variable with a suffix of STM has a value greater than a value of a variable with the same root and a suffix of ETM, and both variables are populated",,,,,
AD0794,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, a variable with a suffix of SDTM has a value greater than a value of a variable with the same root and a suffix of EDTM, and both variables are populated",,,,,
AD0795,,1.3,BASIC DATA STRUCTURE,PROJID is populated and PROJIDN is not populated,,,,,
AD0796,,1.3,BASIC DATA STRUCTURE,PROJIDN is populated and PROJID is not populated,,,,,
AD0797,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of PROJIDN for a given value of PROJID, considering only those rows on which both variables are populated.",,,,,
AD0798,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of PROJID for a given value of PROJIDN, considering only those rows on which both variables are populated",,,,,
AD0799,,1.3,BASIC DATA STRUCTURE,PROJIDN is present and PROJID is not present,,,,,
AD0800,,1.3,BASIC DATA STRUCTURE,STUDYID is populated and STUDYIDN is not populated,,,,,
AD0801,,1.3,BASIC DATA STRUCTURE,STUDYIDN is populated and STUDYID is not populated,,,,,
AD0802,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of STUDYIDN for a given value of STUDYID, considering only those rows on which both variables are populated.",,,,,
AD0803,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of STUDYID for a given value of STUDYIDN, considering only those rows on which both variables are populated",,,,,
AD0804,,1.3,BASIC DATA STRUCTURE,STUDYIDN is present and STUDYID is not present,,,,,
AD0805,,1.3,BASIC DATA STRUCTURE,SUBJTYP is populated and SUBJTYPC is not populated,,,,,
AD0806,,1.3,BASIC DATA STRUCTURE,SUBJTYPC is populated and SUBJTYP is not populated,,,,,
AD0807,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SUBJTYPC for a given value of SUBJTYP, considering only those rows on which both variables are populated.",,,,,
AD0808,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SUBJTYP for a given value of SUBJTYPC, considering only those rows on which both variables are populated",,,,,
AD0809,,1.3,BASIC DATA STRUCTURE,SUBJTYPC is present and SUBJTYP is not present,,,,,
AD0810,,1.3,BASIC DATA STRUCTURE,USUBJID is populated and USUBJIDN is not populated,,,,,
AD0811,,1.3,BASIC DATA STRUCTURE,USUBJIDN is populated and USUBJID is not populated,,,,,
AD0812,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of USUBJIDN for a given value of USUBJID, considering only those rows on which both variables are populated.",,,,,
AD0813,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of USUBJID for a given value of USUBJIDN, considering only those rows on which both variables are populated",,,,,
AD0814,,1.3,BASIC DATA STRUCTURE,USUBJIDN is present and USUBJID is not present,,,,,
AD0815,,1.3,BASIC DATA STRUCTURE,SUBJID is populated and SUBJIDN is not populated,,,,,
AD0816,,1.3,BASIC DATA STRUCTURE,SUBJIDN is populated and SUBJID is not populated,,,,,
AD0817,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SUBJIDN for a given value of SUBJID, considering only those rows on which both variables are populated.",,,,,
AD0818,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SUBJID for a given value of SUBJIDN, considering only those rows on which both variables are populated",,,,,
AD0819,,1.3,BASIC DATA STRUCTURE,SUBJIDN is present and SUBJID is not present,,,,,
AD0820,,1.3,BASIC DATA STRUCTURE,SITEID is populated and SITEIDN is not populated,,,,,
AD0821,,1.3,BASIC DATA STRUCTURE,SITEIDN is populated and SITEID is not populated,,,,,
AD0822,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SITEIDN for a given value of SITEID, considering only those rows on which both variables are populated.",,,,,
AD0823,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SITEID for a given value of SITEIDN, considering only those rows on which both variables are populated",,,,,
AD0824,,1.3,BASIC DATA STRUCTURE,SITEIDN is present and SITEID is not present,,,,,
AD0825,,1.3,BASIC DATA STRUCTURE,FLGREAS is populated and FLGREASC is not populated,,,,,
AD0826,,1.3,BASIC DATA STRUCTURE,FLGREASC is populated and FLGREAS is not populated,,,,,
AD0827,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of FLGREASC for a given value of FLGREAS, considering only those rows on which both variables are populated.",,,,,
AD0828,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of FLGREAS for a given value of FLGREASC, considering only those rows on which both variables are populated",,,,,
AD0829,,1.3,BASIC DATA STRUCTURE,FLGREASC is present and FLGREAS is not present,,,,,
AD0830,,1.3,BASIC DATA STRUCTURE,DVID is populated and DVIDN is not populated,,,,,
AD0831,,1.3,BASIC DATA STRUCTURE,DVIDN is populated and DVID is not populated,,,,,
AD0832,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of DVIDN for a given value of DVID, considering only those rows on which both variables are populated.",,,,,
AD0833,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of DVID for a given value of DVIDN, considering only those rows on which both variables are populated",,,,,
AD0834,,1.3,BASIC DATA STRUCTURE,DVIDN is present and DVID is not present,,,,,
AD0835,,1.3,BASIC DATA STRUCTURE,BLQFL is populated and BLQFN is not populated,,,,,
AD0836,,1.3,BASIC DATA STRUCTURE,BLQFN is populated and BLQFL is not populated,,,,,
AD0837,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of BLQFN for a given value of BLQFL, considering only those rows on which both variables are populated.",,,,,
AD0838,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of BLQFL for a given value of BLQFN, considering only those rows on which both variables are populated",,,,,
AD0839,,1.3,BASIC DATA STRUCTURE,BLQFN is present and BLQFL is not present,,,,,
AD0840,,1.3,BASIC DATA STRUCTURE,ALQFL is populated and ALQFN is not populated,,,,,
AD0841,,1.3,BASIC DATA STRUCTURE,ALQFN is populated and ALQFL is not populated,,,,,
AD0842,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of ALQFN for a given value of ALQFL, considering only those rows on which both variables are populated.",,,,,
AD0843,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of ALQFL for a given value of ALQFN, considering only those rows on which both variables are populated",,,,,
AD0844,,1.3,BASIC DATA STRUCTURE,ALQFN is present and ALQFL is not present,,,,,
AD0845,,1.3,BASIC DATA STRUCTURE,FORM is populated and FORMN is not populated,,,,,
AD0846,,1.3,BASIC DATA STRUCTURE,FORMN is populated and FORM is not populated,,,,,
AD0847,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of FORMN for a given value of FORM, considering only those rows on which both variables are populated.",,,,,
AD0848,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of FORM for a given value of FORMN, considering only those rows on which both variables are populated",,,,,
AD0849,,1.3,BASIC DATA STRUCTURE,FORMN is present and FORM is not present,,,,,
AD0850,,1.3,BASIC DATA STRUCTURE,ROUTE is populated and ROUTEN is not populated,,,,,
AD0851,,1.3,BASIC DATA STRUCTURE,ROUTEN is populated and ROUTE is not populated,,,,,
AD0852,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of ROUTEN for a given value of ROUTE, considering only those rows on which both variables are populated.",,,,,
AD0853,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of ROUTE for a given value of ROUTEN, considering only those rows on which both variables are populated",,,,,
AD0854,,1.3,BASIC DATA STRUCTURE,ROUTEN is present and ROUTE is not present,,,,,
AD0855,,1.3,BASIC DATA STRUCTURE,ACYCLE is populated and ACYCLEC is not populated,,,,,
AD0856,,1.3,BASIC DATA STRUCTURE,ACYCLEC is populated and ACYCLE is not populated,,,,,
AD0857,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of ACYCLEC for a given value of ACYCLE, considering only those rows on which both variables are populated.",,,,,
AD0858,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of ACYCLE for a given value of ACYCLEC, considering only those rows on which both variables are populated",,,,,
AD0859,,1.3,BASIC DATA STRUCTURE,ACYCLEC is present and ACYCLE is not present,,,,,
AD0860,,1.3,BASIC DATA STRUCTURE,COHORT is populated and COHORTC is not populated,,,,,
AD0861,,1.3,BASIC DATA STRUCTURE,COHORTC is populated and COHORT is not populated,,,,,
AD0862,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of COHORTC for a given value of COHORT, considering only those rows on which both variables are populated.",,,,,
AD0863,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of COHORT for a given value of COHORTC, considering only those rows on which both variables are populated",,,,,
AD0864,,1.3,BASIC DATA STRUCTURE,COHORTC is present and COHORT is not present,,,,,
AD0865,,1.3,BASIC DATA STRUCTURE,RACE is populated and RACEN is not populated,,,,,
AD0866,,1.3,BASIC DATA STRUCTURE,RACEN is populated and RACE is not populated,,,,,
AD0867,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of RACEN for a given value of RACE, considering only those rows on which both variables are populated.",,,,,
AD0868,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of RACE for a given value of RACEN, considering only those rows on which both variables are populated",,,,,
AD0869,,1.3,BASIC DATA STRUCTURE,RACEN is present and RACE is not present,,,,,
AD0870,,1.3,BASIC DATA STRUCTURE,SEX is populated and SEXN is not populated,,,,,
AD0871,,1.3,BASIC DATA STRUCTURE,SEXN is populated and SEX is not populated,,,,,
AD0872,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SEXN for a given value of SEX, considering only those rows on which both variables are populated.",,,,,
AD0873,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of SEX for a given value of SEXN, considering only those rows on which both variables are populated",,,,,
AD0874,,1.3,BASIC DATA STRUCTURE,SEXN is present and SEX is not present,,,,,
AD0875,,1.3,BASIC DATA STRUCTURE,COUNTRY is populated and COUNTRYN is not populated,,,,,
AD0876,,1.3,BASIC DATA STRUCTURE,COUNTRYN is populated and COUNTRY is not populated,,,,,
AD0877,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of COUNTRYN for a given value of COUNTRY, considering only those rows on which both variables are populated.",,,,,
AD0878,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of COUNTRY for a given value of COUNTRYN, considering only those rows on which both variables are populated",,,,,
AD0879,,1.3,BASIC DATA STRUCTURE,COUNTRYN is present and COUNTRY is not present,,,,,
AD0880,,1.3,BASIC DATA STRUCTURE,COUNTRY is populated and COUNTRYL is not populated,,,,,
AD0881,,1.3,BASIC DATA STRUCTURE,COUNTRYL is populated and COUNTRY is not populated,,,,,
AD0882,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of COUNTRYL for a given value of COUNTRY, considering only those rows on which both variables are populated.",,,,,
AD0883,,1.3,BASIC DATA STRUCTURE,"Within a dataset, there is more than one value of COUNTRY for a given value of COUNTRYL, considering only those rows on which both variables are populated",,,,,
AD0884,,1.3,BASIC DATA STRUCTURE,COUNTRYL is present and COUNTRY is not present,,,,,
AD0885,,1.3,BASIC DATA STRUCTURE,USUBJIDN is not present,,,,,
AD0886,,1.3,BASIC DATA STRUCTURE,AFRLT is not present,,,,,
AD0887,,1.3,BASIC DATA STRUCTURE,EVID is not present,,,,,
AD0888,,1.3,BASIC DATA STRUCTURE,DV is not present,,,,,
AD0889,,1.3,BASIC DATA STRUCTURE,MDV is not present,,,,,
AD0890,,1.3,BASIC DATA STRUCTURE,AMT is not present,,,,,
AD0891,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, there is more than one value of COHORTN for a given value of COHORT",,,,,
AD0892,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, there is more than one value of COHORT for a given value of COHORTN",,,,,
AD0893,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, there is more than one value of ACYCLEC for a given value of ACYCLE",,,,,
AD0894,,"1.0, 1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"On a given record, there is more than one value of ACYCLE for a given value of ACYCLEC",,,,,
AD0895,,"1.1, 1.2, 1.3",BASIC DATA STRUCTURE,"A variable with a prefix of CRIT, a suffix of FL and containing either a one-digit or two-digit number (CRITyFL) is present and a variable with the same root without a suffix of FL (CRITy) is not present",,,,,
AD0896,,"1.2, 1.3",BASIC DATA STRUCTURE,"AWU is present and AWLO, AWHI, AWTARGET, and AWTDIFF are not present",,,,,
AD0897,,"1.1, 1.2, 1.3",ALL,A non-missing value of TRTA is not equal to at least one value of the character actual treatment variables in ADSL defined in the IG,,,,,
AD0898,,"1.0, 1.1, 1.2, 1.3",ALL,"For a value of AD*.USUBJID that is a value of --.USUBJID, a value of AD*.--SEQ is not a value of --.--SEQ",,,,,
AD0899,,"1.0, 1.1, 1.2, 1.3",ALL,"AD*.USUBJID equals --.USUBJID, AD*.--SEQ equals --.--SEQ, and the values of a variable with prefix -- which is present in both datasets are not equal",,,,,
