Rule ID,SDTMIG Version,,,Status,CORE-ID
CG0399,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000205
CG0400,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0400
CG0404,3.2,3.3,3.4,PUBLISHED,CORE-000118
CG0406,3.2,3.3,3.4,PUBLISHED,CORE-000199
CG0407,3.2,3.3,3.4,PUBLISHED,CORE-000739
CG0408,3.2,3.3,3.4,PUBLISHED,CORE-000579
CG0409,3.2,3.3,3.4,PUBLISHED,CORE-000172
CG0410,3.2,3.3,3.4,PUBLISHED,CORE-000204
CG0411,3.2,3.3,3.4,PUBLISHED,CORE-000203
CG0412,3.2,,,PUBLISHED,CORE-000515
CG0413,3.2,3.3,3.4,PUBLISHED,CORE-000598
CG0414,3.2,3.3,3.4,PUBLISHED,CORE-000173
CG0415,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,Els to create this draft rule in editor
CG0416,3.2,3.3,3.4,PUBLISHED,CORE-000222
CG0417,3.2,3.3,3.4,PUBLISHED,CORE-000221
CG0418,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0418
CG0419,3.2,3.3,3.4,PUBLISHED,CORE-000202
CG0420,3.2,3.3,3.4,PUBLISHED,CORE-000240
CG0421,3.2,3.3,3.4,PUBLISHED,CORE-000241
CG0422,3.2,3.3,3.4,PUBLISHED,CORE-000099
CG0423,3.2,3.3,3.4,PUBLISHED,CORE-000100
CG0425,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0425
CG0426,3.2,3.3,3.4,PUBLISHED,CORE-000133
CG0427,3.2,3.3,3.4,PUBLISHED,CORE-000101
CG0428,3.2,3.3,3.4,PUBLISHED,CORE-000102
CG0429,3.2,3.3,3.4,PUBLISHED,CORE-000785; CORE-000103
CG0430,3.2,3.3,3.4,PUBLISHED,CORE-000786; CORE-000104
CG0431,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0431
CG0432,3.2,3.3,,PUBLISHED,CORE-000452
CG0433,3.2,3.3,,PUBLISHED,CORE-000453
CG0434,3.2,3.3,3.4,PUBLISHED,CORE-000122
CG0435,3.2,3.3,3.4,PUBLISHED,CORE-000007
CG0436,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0436
CG0437,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0437
CG0438,3.2,3.3,,PUBLISHED,CORE-000730
CG0439,3.2,3.3,,PUBLISHED,CORE-000731
