Rule ID,FDA Business Rule,SDTMIG Version,,,SENDIG Version,,,,,,,Status,CORE-ID,Rule Author (name),Status Rule,Partially Executable?,Overreporting or Underreporting?,Details,,,,
FB1704,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1705,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1706,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1707,FDAB017,x,x,x,,,,,,,,PUBLISHED,CORE-002008,Richard Stone,MERGED,N,,"Rule is written to also pick up cases where the --LLT variable is empty. Assumption is made that in case --LLT variable is added to the dataset, that it is expected to be completed. In rare cases where only certain events are coded, and --LLT is not expected to be completed for certain data points, then this rule could overreport. As this is unlikely to happen, rule is kept as 'fully executable'.",,,,
FB1708,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1709,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1710,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1711,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1712,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1713,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1714,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1715,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1716,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1717,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1718,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB1801,FDAB018,x,x,x,x,x,x,x,x,x,x,DRAFT,FDA.SDTMIG.FB1801,,,,,,,,,
FB1901,FDAB019,x,x,x,x,x,x,x,x,x,x,DRAFT,FDA.SDTMIG.FB1901,,,,,,,,,
FB2201,FDAB022,x,x,x,,,,,,,,PUBLISHED,CORE-000701,,,,,,,,,
FB2301,FDAB023,x,,,,,,,,,,PUBLISHED,CORE-000887,,,,,,,,,
FB2302,FDAB023,,x,x,,,,,,,,PUBLISHED,CORE-000885,,,,,,,,,
FB2303,FDAB023,x,,,,,,,,,,DRAFT,/,,,,,,,,,
FB2304,FDAB023,,x,x,,,,,,,,PUBLISHED,CORE-000927,,,,,,,,,
FB2305,FDAB023,x,,,,,,,,,,PUBLISHED,CORE-001064,,,,,,,,,
FB2306,FDAB023,,x,x,,,,,,,,PUBLISHED,CORE-000886,,,,,,,,,
FB2401,FDAB024,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000765,,,,,,,,,
FB2501,FDAB024,x,x,x,,,,,,,,PUBLISHED,CORE-000655,,,,,,,,,
FB2502,FDAB024,x,,,,,,,,,,PUBLISHED,CORE-000656,,,,,,,,,
FB2503,FDAB024,,x,x,,,,,,,,DRAFT,,,,,,,,,,
FB2504,FDAB024,x,,,,,,,,,,PUBLISHED,CORE-000748,,,,,,,,,
FB2505,FDAB025,,x,x,,,,,,,,PUBLISHED,CORE-000790,,,,,,,,,
FB2601,FDAB026,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000643,,,,,,,,,
FB2602,FDAB026,,x,x,,,,,,,,PUBLISHED,CORE-000105,,,,,,,,,
FB2603,FDAB026,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000914,,,,,,,,,
FB2604,FDAB026,,x,x,,,,,,,,PUBLISHED,CORE-000915,,,,,,,,,
FB3001,FDAB030,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000699,,,,,,,,,
FB3101,FDAB030,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000863,,,,,,,,,
FB3102,FDAB030,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000542,,,,,,,,,
FB3103,FDAB031,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000732,,,,,,,,,
FB3201,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000321,,,,,,,,,
FB3202,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000328,,,,,,,,,
FB3203,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000776,,,,,,,,,
FB3204,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000700,,,,,,,,,
FB3205,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000862,,,,,,,,,
FB3206,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000864,,,,,,,,,
FB3207,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000708,,,,,,,,,
FB3208,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000707,,,,,,,,,
FB3209,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000718,,,,,,,,,
FB3210,FDAB032,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000866,,,,,,,,,
FB3211,FDAB032,x,x,x,x,x,x,x,x,x,x,DRAFT,/,,,,,,,,,
FB3212,FDAB032,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB3213,FDAB032,x,x,x,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
FB3214,FDAB032,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB3401,FDAB034,x,x,x,,,,,,,,PUBLISHED,CORE-000717,,,,,,,,,
