Rule ID,SDTMIG Version,,,Status,CORE-ID
FB5114,,,,PUBLISHED,CORE-000662
FB5115,,,,PUBLISHED,CORE-000663
FB5116,,,,PUBLISHED,CORE-000664
FB5117,,,,PUBLISHED,CORE-000665
FB5118,,,,PUBLISHED,CORE-000667
FB5119,,,,PUBLISHED,CORE-000668
FB5120,,,,PUBLISHED,CORE-000794
FB5121,,,,PUBLISHED,CORE-000847
FB5122,,,,PUBLISHED,CORE-000848
FB5123,,,,PUBLISHED,CORE-000621
FB5124,,,,PUBLISHED,CORE-000622
FB5125,,,,PUBLISHED,CORE-000623
FB5126,,,,PUBLISHED,CORE-000624
FB5127,,,,PUBLISHED,CORE-000625
FB5128,,,,PUBLISHED,CORE-000626
FB5129,,,,PUBLISHED,CORE-000627
FB5130,,,,PUBLISHED,CORE-000628
FB5131,,,,PUBLISHED,CORE-000629
FB5132,,,,PUBLISHED,FDA.SENDIG.FB5132
FB5133,,,,PUBLISHED,CORE-000788
FB5134,,,,PUBLISHED,CORE-000789
FB5135,,,,PUBLISHED,CORE-000669
FB5136,,,,PUBLISHED,CORE-000617
FB5137,,,,PUBLISHED,CORE-000615
FB5138,,,,PUBLISHED,CORE-000614
FB5139,,,,PUBLISHED,CORE-000613
FB5140,,,,PUBLISHED,CORE-000630
FB5141,,,,PUBLISHED,CORE-000762
FB5301,,,,PUBLISHED,CORE-000493
FB5302,,,,PUBLISHED,CORE-000769
FB5303,,,,PUBLISHED,CORE-000619
FB5401,,,,PUBLISHED,CORE-000896
FB5501,3.2,3.3,3.4,NOT-EXECUTABLE,
FB5601,3.2,3.3,3.4,NOT-EXECUTABLE,
FB5701,3.2,3.3,3.4,PUBLISHED,CORE-000726
FB5801,3.2,3.3,3.4,PUBLISHED,CORE-000746
FB5901,3.2,3.3,3.4,DRAFT,
FB6001,3.2,3.3,3.4,PUBLISHED,CORE-000747
FB6101,3.2,3.3,3.4,NOT-EXECUTABLE,
FB6201,3.2,3.3,3.4,NOT-EXECUTABLE,
FB6301,3.2,3.3,3.4,NOT-EXECUTABLE,
FB6401,,,,PUBLISHED,CORE-001044
FB6402,,,,DRAFT,
FB6403,,,,DRAFT,FDA.SENDIG.FB6403
FB6501,,,,DRAFT,FDA.SENDIG.FB6501
FB6502,,,,DRAFT,FDA.SENDIG.FB6502
FB6503,,,,DRAFT,FDA.SENDIG.FB6503
FB6504,,,,DRAFT,FDA.SENDIG.FB6504
FB6505,,,,DRAFT,FDA.SENDIG.FB6505
FB6506,,,,DRAFT,FDA.SENDIG.FB6506
FB6507,,,,DRAFT,FDA.SENDIG.FB6507
FB6508,,,,DRAFT,FDA.SENDIG.FB6508
FB6509,,,,DRAFT,FDA.SENDIG.FB6509
FB6510,,,,DRAFT,FDA.SENDIG.FB6510
FB6601,,,,DRAFT,FDA.SENDIG.FB6601
FB6602,,,,DRAFT,FDA.SENDIG.FB6602
FB6801,,,,DRAFT,
FB6901,3.2,3.3,3.4,PUBLISHED,CORE-000901
FB7001,3.2,3.3,3.4,PUBLISHED,CORE-000612
FB7101,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB7101
FB7201,,,,NOT-EXECUTABLE,
FB7301,,,,NOT-EXECUTABLE,
FB7401,,,,NOT-EXECUTABLE,
FB7501,,,,NOT-EXECUTABLE,
FB7601,,,,DRAFT,
FB7602,,,,DRAFT,
FB7701,,,,NOT-EXECUTABLE,
FB7801,,,,NOT-EXECUTABLE,
FB7901,,,,NOT-EXECUTABLE,
FB8001,,,,DRAFT,
FB8101,,,,NOT-EXECUTABLE,
FB8201,,,,DRAFT,
FB8202,,,,DRAFT,FDA.SENDIG.FB8202
FB8301,,,,NOT-EXECUTABLE,
FB8401,,,,NOT-EXECUTABLE,
FB8501,,,,PUBLISHED,CORE-000618
FB8601,,,,PUBLISHED,CORE-000645
FB8602,,,,PUBLISHED,CORE-000648
TRC1734a,3.2,3.3,3.4,DRAFT,FDA.TRC1734a
TRC1734b,3.2,3.3,3.4,DRAFT,FDA.TRC1734b
TRC1734c,3.2,3.3,3.4,PUBLISHED,CORE-000505
TRC1734d,,,,DRAFT,
TRC1734e,,,,DRAFT,
TRC1735a,3.2,3.3,3.4,DRAFT,
TRC1735b,3.2,3.3,3.4,DRAFT,
TRC1736a,3.2,3.3,3.4,PUBLISHED,CORE-000581
TRC1736b,3.2,3.3,3.4,DRAFT,
TRC1736c,,,,PUBLISHED,CORE-000581
TRC1736d,,,,DRAFT,
TRC1737,3.2,3.3,3.4,DRAFT,
